Rank,Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,GOF F1,LOF F1,Neutral F1,GOF MCC,LOF MCC,Neutral MCC,Score
0,358,0.58,0.9,0.93,0.77,0.88,0.92,0.66,0.89,0.92,0.6444,0.791,0.854,0.8303800000000001
1,369,0.57,0.9,0.93,0.77,0.88,0.92,0.66,0.89,0.92,0.6427,0.7903,0.854,0.8294000000000001
2,397,0.59,0.9,0.93,0.76,0.88,0.91,0.66,0.89,0.92,0.6487,0.7888,0.8483,0.8291600000000001
3,392,0.58,0.9,0.93,0.77,0.88,0.91,0.66,0.89,0.92,0.6499,0.7874,0.8483,0.8291200000000002
4,359,0.57,0.9,0.93,0.77,0.88,0.92,0.66,0.89,0.92,0.6409,0.7903,0.8533,0.8289000000000002
5,352,0.57,0.9,0.93,0.77,0.88,0.92,0.66,0.89,0.92,0.6409,0.7896,0.8526,0.8286200000000002
6,327,0.57,0.9,0.93,0.77,0.88,0.92,0.66,0.89,0.92,0.6409,0.7903,0.8519,0.8286200000000001
7,310,0.57,0.9,0.93,0.77,0.87,0.92,0.66,0.89,0.92,0.6427,0.7896,0.8533,0.82862
8,376,0.58,0.9,0.93,0.76,0.88,0.92,0.66,0.89,0.92,0.642,0.7895,0.8512,0.8285400000000002
9,377,0.58,0.9,0.93,0.76,0.88,0.92,0.66,0.89,0.92,0.642,0.7888,0.8519,0.82854
